TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,AccountBalance
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,5112.21
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,13758.91
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,8569.06
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,7429.4
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,781.68
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,13316.71
TX000008,AC00069,171.42,2023-05-08 17:47:59,,Indianapolis,2796.24
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,9095.14
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,1021.88
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,7599.52
TX000012,Vwtv435v4f,190.02,2023-02-06 17:30:00,Debit,Memphis,1528.81
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,,1620.02
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,189.69
TX000015,AC00085,123874932423,2023-02-13 16:53:57,Debit,Louisville,
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,3465.54
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,1131.26
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Null,5109.97
TX000019,AC00242,18.68,,Credit,Albuquerque,7948.37
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,6568.59
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,5750.89
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,9146.19
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,385946,8974.93
TX000024,687234673fgce,345.84,2023-05-02 18:25:46,Debit,Fort Worth,1402.5
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,1930.96
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,3634.67
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,673.35
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,Bgifugafc
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,1772.06
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,1351.69
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,8334.47
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,9823.64
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,9690.15
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,399.0
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,14815.87
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,3874638764736
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,900.61
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,4875.86
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,7914.88
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,1019.39
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,4323.66
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,14214.48
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,13357.02
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,241.79
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,868.61
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,4673.28
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,1509.27
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,781.7
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,265.51
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,1335.09
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,3907.54
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,5183.85
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,14904.9
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,918.88
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,4477.78
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,1324.03
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,3534.93
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,4638.37
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,3432e4vfcr
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,930.3
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,5499.91
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,4175.02
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,6651.62
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,8458.29
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,13988.12
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,2585.07
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,3014.75
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,1951.42
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,234324324
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,977.01
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,3846.28
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,6374.82
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,5866.01
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,6537.62
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,605.95
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,6689.87
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,634.17
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,14676.05
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,1362.39
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,10528.34
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,552.52
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,6451.96
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,4715.84
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,7176.86
